sedol,aims,annual_charge,annual_saving,bid_price,citicode,closed_fund,company_id,company_name,cost_segment,full_description,fund_name,fund_size,historic_yield,holding_fee,icvc,initial_charge,initial_commission,initial_saving,is_oeic,isaable,kiid,launch_currency,launchdate,lsmininv,lump_sum_min_inv,net_annual_charge,num_holdings,offer_price,other_expenses,payment_frequency,payment_type,percent_change,perf0t12m,perf120m,perf12m,perf12t24m,perf24t36m,perf36m,perf36t48m,perf3m,perf48t60m,perf60m,perf6m,reg_saver,reg_saver_min_inv,sector_id,sector_name,sicav,sippable,total_expenses,tracker,unit_type,update_time,updated,valuation_frequency,fund_yield,Wealth150
B2PB2B6,"This Fund aims, by applying active asset allocation techniques to predominantly passive strategies, to provide capital growth. There is a risk of wide fluctuations in capital values.",0.64,0.0,195.23999999999998,BFB8,0,1174,Seven Investment Management,1,7IM AAP Adventurous (Class C),Seven Investment Management AAP Adventurous (Class C),338.4,1.5,0.0,0,0.0,0.0,0.0,1,1,1,GBP,2008-03-28,100.0,100.0,0.64,18.0,195.23999999999998,0.14,Bi-annually,Dividend,0.43,2.77,0.0,2.77,8.54,2.38,14.2,-1.0,-3.25,20.36,36.07,-0.88,1,25.0,115,Flexible Investment,0,1,0.64,0,Income,2025-05-28,2025-05-28,Daily,1.5,0
B2PB2C7,"This Fund aims, by applying active asset allocation techniques to predominantly passive strategies, to provide capital growth. There is a risk of wide fluctuations in capital values.",0.64,0.0,241.88,BFB9,0,1174,Seven Investment Management,1,7IM AAP Adventurous (Class C),Seven Investment Management AAP Adventurous (Class C),338.4,1.5,0.0,0,0.0,0.0,0.0,1,1,1,GBP,2008-03-28,100.0,100.0,0.64,18.0,241.88,0.14,Bi-annually,Dividend,0.42,2.78,0.0,2.78,8.55,2.38,14.21,-1.0,-3.25,20.36,36.09,-0.88,1,25.0,115,Flexible Investment,0,1,0.64,0,Accumulation,2025-05-28,2025-05-28,Daily,1.5,0
B2PB2V6,"This Fund aims, by applying active asset allocation techniques to predominantly passive strategies, to provide a balance of income and capital appreciation. There may be some risk to capital.",0.64,0.0,151.81,BFB4,0,1174,Seven Investment Management,1,7IM AAP Balanced (Class C),Seven Investment Management AAP Balanced (Class C),792.5,2.1,0.0,0,0.0,0.0,0.0,1,1,1,GBP,2008-03-28,100.0,100.0,0.64,35.0,151.81,0.14,Bi-annually,Dividend,0.31,2.56,0.0,2.56,8.35,-1.56,9.4,-2.97,-2.49,13.2,20.17,-0.69,1,25.0,131,Mixed Investment 20-60% Shares,0,1,0.64,0,Income,2025-05-28,2025-05-28,Daily,2.1,0
B2PB379,"This Fund aims, by applying active asset allocation techniques to predominantly passive strategies, to provide a balance of income and capital appreciation. There may be some risk to capital.",0.64,0.0,199.69,BFB5,0,1174,Seven Investment Management,1,7IM AAP Balanced (Class C),Seven Investment Management AAP Balanced (Class C),792.5,2.1,0.0,0,0.0,0.0,0.0,1,1,1,GBP,2008-03-28,100.0,100.0,0.64,35.0,199.69,0.14,Bi-annually,Dividend,0.31,2.58,0.0,2.58,8.35,-1.56,9.41,-2.97,-2.49,13.21,20.19,-0.69,1,25.0,131,Mixed Investment 20-60% Shares,0,1,0.64,0,Accumulation,2025-05-28,2025-05-28,Daily,2.1,0
BMXV7D5,This Fund aims to provide a long-term total return (over at least 5 years) by way of income with some capital growth.,0.73,0.0,120.73,AHOMC,0,1174,Seven Investment Management,2,7IM AAP Cautious (Class C),Seven Investment Management AAP Cautious (Class C),83.6,1.9,0.0,0,0.0,0.0,0.0,1,1,1,GBP,2024-03-22,100.0,100.0,0.73,35.0,120.73,0.23,Bi-annually,Dividend,0.22,2.15,0.0,2.15,4.01,-5.45,0.46,-4.86,-1.67,5.47,0.8,-0.53,1,25.0,137,Mixed Investment 0-35% Shares,0,1,0.73,0,Income,2025-05-28,2025-05-28,Daily,1.9,0
BMXV854,This Fund aims to provide a long-term total return (over at least 5 years) by way of income with some capital growth.,0.73,0.0,153.56,AHOMB,0,1174,Seven Investment Management,2,7IM AAP Cautious (Class C),Seven Investment Management AAP Cautious (Class C),83.6,1.9,0.0,0,0.0,0.0,0.0,1,1,1,GBP,2024-03-22,100.0,100.0,0.73,35.0,153.56,0.23,Bi-annually,Dividend,0.22,2.16,0.0,2.16,5.01,-5.45,1.43,-4.86,-1.67,5.47,1.78,-0.53,1,25.0,137,Mixed Investment 0-35% Shares,0,1,0.73,0,Accumulation,2025-05-28,2025-05-28,Daily,1.9,0
B2PB2K5,"This Fund aims, by applying active asset allocation techniques to predominantly passive strategies, to provide a total return primarily by way of growth in capital. There is a risk of fluctuations in capital values.",0.64,0.0,185.16,BFA6,0,1174,Seven Investment Management,2,7IM AAP Moderately Adventurous (Class C),Seven Investment Management AAP Moderately Adventurous (Class C),562.2,1.7,0.0,0,0.0,3.0,0.0,1,1,1,GBP,2008-03-28,100.0,100.0,0.64,28.0,185.16,0.14,Bi-annually,Dividend,0.36,2.82,0.0,2.82,8.91,0.96,13.05,-1.57,-2.67,16.94,30.12,-0.36,1,25.0,107,Mixed Investment 40-85% Shares,0,1,0.64,0,Income,2025-05-28,2025-05-28,Daily,1.7,0
B2PB2M7,"This Fund aims, by applying active asset allocation techniques to predominantly passive strategies, to provide a total return primarily by way of growth in capital. There is a risk of fluctuations in capital values.",0.64,0.0,230.97,BFA7,0,1174,Seven Investment Management,2,7IM AAP Moderately Adventurous (Class C),Seven Investment Management AAP Moderately Adventurous (Class C),562.2,1.7,0.0,0,0.0,3.0,0.0,1,1,1,GBP,2008-03-28,100.0,100.0,0.64,28.0,230.97,0.14,Bi-annually,Dividend,0.36,2.82,0.0,2.82,8.91,0.96,13.06,-1.57,-2.67,16.87,30.06,-0.36,1,25.0,107,Mixed Investment 40-85% Shares,0,1,0.64,0,Accumulation,2025-05-28,2025-05-28,Daily,1.7,0
B2PB205,"This Fund aims to provide a total return, substantially by way of income though with some capital appreciation. There may be a moderate risk to capital.",0.68,0.0,120.21,BFB0,0,1174,Seven Investment Management,2,7IM AAP Moderately Cautious (Class C),Seven Investment Management AAP Moderately Cautious (Class C),266.7,2.9,0.0,0,0.0,3.0,0.0,1,1,1,GBP,2008-03-28,100.0,100.0,0.68,36.0,120.21,0.18,Quarterly,Dividend,0.23,2.69,0.0,2.69,6.54,-4.06,4.97,-4.9,-1.83,8.26,8.07,-0.35,1,25.0,137,Mixed Investment 0-35% Shares,0,1,0.68,0,Income,2025-05-28,2025-05-28,Daily,2.9,0
B2PB216,"This Fund aims to provide a total return, substantially by way of income though with some capital appreciation. There may be a moderate risk to capital.",0.68,0.0,164.44,BFB1,0,1174,Seven Investment Management,2,7IM AAP Moderately Cautious (Class C),Seven Investment Management AAP Moderately Cautious (Class C),266.7,2.9,0.0,0,0.0,3.0,0.0,1,1,1,GBP,2008-03-28,100.0,100.0,0.68,36.0,164.44,0.18,Quarterly,Dividend,0.23,2.7,0.0,2.7,6.54,-4.05,4.98,-4.9,-1.83,8.26,8.09,-0.35,1,25.0,137,Mixed Investment 0-35% Shares,0,1,0.68,0,Accumulation,2025-05-28,2025-05-28,Daily,2.9,0
